Tagging ID,Day,Ai_trk,GP Job Name,Impressions,Media Cost,visits,Call Leads,Web Leads
4348619SOC-BDA2-C1,21-Jan-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,307,$7.53 ,1,#N/A,#N/A
4348619SOC-BDA2-C2,21-Jan-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,12,$0.45 ,1,#N/A,#N/A
4348619SOC-BDA2-C3,21-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,245,$8.21 ,2,#N/A,#N/A
4348619SOC-BDA2-C4,21-Jan-19,19SOC-BDA2-C4,Age-In NTM Social Facebook (64+9 mo) Benefit Carousel Union County,1,$0.00 ,#N/A,#N/A,#N/A
4348619SOC-BDA2-C5,21-Jan-19,19SOC-BDA2-C5,Age-In NTM Social Facebook  (64+9 mo) Benefit Carousel Except Union,212,$6.24 ,1,#N/A,#N/A
4348619SOC-BDA3-C1,21-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,164,$3.27 ,1,#N/A,#N/A
4348619SOC-BDA3-C2,21-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,263,$6.85 ,3,#N/A,#N/A
4348619SOC-BDA3-C3,21-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,231,$5.66 ,#N/A,#N/A,#N/A
4348719SOC-BDA1-C1,22-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,302,$5.24 ,1,#N/A,#N/A
4348719SOC-BDA1-C2,22-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,480,$8.32 ,3,#N/A,#N/A
4348719SOC-BDA1-C3,22-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,226,$7.06 ,3,#N/A,#N/A
4348719SOC-BDA2-C1,22-Jan-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,432,$10.71 ,7,0,2
4348719SOC-BDA2-C2,22-Jan-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,17,$0.23 ,#N/A,#N/A,#N/A
4348719SOC-BDA2-C3,22-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,135,$5.47 ,3,#N/A,#N/A
4348719SOC-BDA2-C5,22-Jan-19,19SOC-BDA2-C5,Age-In NTM Social Facebook  (64+9 mo) Benefit Carousel Except Union,528,$13.53 ,1,#N/A,#N/A
4348719SOC-BDA3-C1,22-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,792,$22.97 ,4,#N/A,#N/A
4348719SOC-BDA3-C2,22-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,189,$4.66 ,2,#N/A,#N/A
4348719SOC-BDA3-C3,22-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,99,$1.82 ,#N/A,#N/A,#N/A
4348819SOC-BDA1-C1,23-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,368,$6.40 ,1,#N/A,#N/A
4348819SOC-BDA1-C2,23-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,274,$3.66 ,1,0,2
4348819SOC-BDA1-C3,23-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,864,$24.35 ,8,#N/A,#N/A
4348819SOC-BDA2-C1,23-Jan-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,"1,352",$35.60 ,16,0,3
4348819SOC-BDA2-C2,23-Jan-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,38,$0.56 ,#N/A,#N/A,#N/A
4348819SOC-BDA2-C3,23-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,453,$9.74 ,2,#N/A,#N/A
4348819SOC-BDA2-C5,23-Jan-19,19SOC-BDA2-C5,Age-In NTM Social Facebook  (64+9 mo) Benefit Carousel Except Union,619,$13.13 ,2,#N/A,#N/A
4348819SOC-BDA3-C1,23-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,"1,194",$31.13 ,3,#N/A,#N/A
4348819SOC-BDA3-C2,23-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,71,$0.97 ,1,#N/A,#N/A
4348819SOC-BDA3-C3,23-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,49,$0.93 ,#N/A,#N/A,#N/A
4348919SOC-BDA1-C1,24-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,424,$7.27 ,4,0,2
4348919SOC-BDA1-C2,24-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,206,$3.11 ,2,#N/A,#N/A
4348919SOC-BDA1-C3,24-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,456,$15.39 ,3,#N/A,#N/A
4348919SOC-BDA2-C1,24-Jan-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,"1,458",$50.34 ,14,0,3
4348919SOC-BDA2-C2,24-Jan-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,93,$2.62 ,#N/A,#N/A,#N/A
4348919SOC-BDA2-C3,24-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,375,$7.07 ,2,#N/A,#N/A
4348919SOC-BDA2-C4,24-Jan-19,19SOC-BDA2-C4,Age-In NTM Social Facebook (64+9 mo) Benefit Carousel Union County,5,$0.13 ,#N/A,#N/A,#N/A
4348919SOC-BDA2-C5,24-Jan-19,19SOC-BDA2-C5,Age-In NTM Social Facebook  (64+9 mo) Benefit Carousel Except Union,185,$2.87 ,#N/A,#N/A,#N/A
4348919SOC-BDA3-C1,24-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,"1,304",$34.85 ,3,#N/A,#N/A
4348919SOC-BDA3-C2,24-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,30,$0.47 ,#N/A,#N/A,#N/A
4348919SOC-BDA3-C3,24-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,65,$1.25 ,1,#N/A,#N/A
4349019SOC-BDA1-C1,25-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,120,$1.74 ,1,#N/A,#N/A
4349019SOC-BDA1-C2,25-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,162,$3.23 ,1,#N/A,#N/A
4349019SOC-BDA1-C3,25-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,209,$6.53 ,#N/A,#N/A,#N/A
4349019SOC-BDA2-C1,25-Jan-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,666,$21.51 ,11,0,6
4349019SOC-BDA2-C2,25-Jan-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,72,$2.41 ,1,#N/A,#N/A
4349019SOC-BDA2-C3,25-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,236,$4.92 ,1,#N/A,#N/A
4349019SOC-BDA2-C4,25-Jan-19,19SOC-BDA2-C4,Age-In NTM Social Facebook (64+9 mo) Benefit Carousel Union County,4,$0.22 ,#N/A,#N/A,#N/A
4349019SOC-BDA2-C5,25-Jan-19,19SOC-BDA2-C5,Age-In NTM Social Facebook  (64+9 mo) Benefit Carousel Except Union,237,$4.36 ,2,#N/A,#N/A
4349019SOC-BDA3-C1,25-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,871,$18.22 ,1,#N/A,#N/A
4349019SOC-BDA3-C2,25-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,104,$3.12 ,#N/A,#N/A,#N/A
4349019SOC-BDA3-C3,25-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,208,$8.19 ,3,#N/A,#N/A
4349119SOC-BDA1-C1,26-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,32,$0.53 ,#N/A,#N/A,#N/A
4349119SOC-BDA1-C2,26-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,38,$0.66 ,#N/A,#N/A,#N/A
4349119SOC-BDA1-C3,26-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,138,$3.79 ,#N/A,#N/A,#N/A
4349119SOC-BDA2-C1,26-Jan-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,133,$5.76 ,#N/A,#N/A,#N/A
4349119SOC-BDA2-C2,26-Jan-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,15,$0.41 ,#N/A,#N/A,#N/A
4349119SOC-BDA2-C3,26-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,126,$3.28 ,1,#N/A,#N/A
4349119SOC-BDA2-C4,26-Jan-19,19SOC-BDA2-C4,Age-In NTM Social Facebook (64+9 mo) Benefit Carousel Union County,6,$0.29 ,#N/A,#N/A,#N/A
4349119SOC-BDA2-C5,26-Jan-19,19SOC-BDA2-C5,Age-In NTM Social Facebook  (64+9 mo) Benefit Carousel Except Union,143,$2.28 ,#N/A,#N/A,#N/A
4349119SOC-BDA3-C1,26-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,297,$5.16 ,#N/A,#N/A,#N/A
4349119SOC-BDA3-C2,26-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,88,$2.83 ,#N/A,#N/A,#N/A
4349119SOC-BDA3-C3,26-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,132,$3.35 ,1,#N/A,#N/A
4349219SOC-BDA1-C1,27-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,64,$1.67 ,1,#N/A,#N/A
4349219SOC-BDA1-C2,27-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,49,$0.56 ,#N/A,#N/A,#N/A
4349219SOC-BDA1-C3,27-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,99,$4.08 ,4,#N/A,#N/A
4349219SOC-BDA2-C1,27-Jan-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,28,$1.59 ,#N/A,#N/A,#N/A
4349219SOC-BDA2-C2,27-Jan-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,18,$0.67 ,1,#N/A,#N/A
4349219SOC-BDA2-C3,27-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,102,$3.99 ,2,0,1
4349219SOC-BDA2-C4,27-Jan-19,19SOC-BDA2-C4,Age-In NTM Social Facebook (64+9 mo) Benefit Carousel Union County,2,$0.04 ,#N/A,#N/A,#N/A
4349219SOC-BDA2-C5,27-Jan-19,19SOC-BDA2-C5,Age-In NTM Social Facebook  (64+9 mo) Benefit Carousel Except Union,76,$2.29 ,#N/A,#N/A,#N/A
4349219SOC-BDA3-C1,27-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,47,$0.70 ,#N/A,#N/A,#N/A
4349219SOC-BDA3-C2,27-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,48,$1.62 ,#N/A,#N/A,#N/A
4349219SOC-BDA3-C3,27-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,92,$2.57 ,1,#N/A,#N/A
4349319SOC-BDA1-C1,28-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,120,$2.49 ,#N/A,#N/A,#N/A
4349319SOC-BDA1-C2,28-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,48,$1.45 ,2,#N/A,#N/A
4349319SOC-BDA1-C3,28-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,322,$12.16 ,5,#N/A,#N/A
4349319SOC-BDA2-C1,28-Jan-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,126,$3.91 ,#N/A,#N/A,#N/A
4349319SOC-BDA2-C2,28-Jan-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,5,$0.18 ,#N/A,#N/A,#N/A
4349319SOC-BDA2-C3,28-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,233,$8.28 ,#N/A,#N/A,#N/A
4349319SOC-BDA2-C4,28-Jan-19,19SOC-BDA2-C4,Age-In NTM Social Facebook (64+9 mo) Benefit Carousel Union County,6,$0.27 ,#N/A,#N/A,#N/A
4349319SOC-BDA2-C5,28-Jan-19,19SOC-BDA2-C5,Age-In NTM Social Facebook  (64+9 mo) Benefit Carousel Except Union,191,$4.06 ,#N/A,#N/A,#N/A
4349319SOC-BDA3-C1,28-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,209,$3.90 ,#N/A,#N/A,#N/A
4349319SOC-BDA3-C2,28-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,97,$4.13 ,#N/A,#N/A,#N/A
4349319SOC-BDA3-C3,28-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,84,$3.45 ,1,#N/A,#N/A
4349419SOC-BDA1-C1,29-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,26,$1.02 ,1,#N/A,#N/A
4349419SOC-BDA1-C2,29-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,18,$0.12 ,#N/A,#N/A,#N/A
4349419SOC-BDA1-C3,29-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,54,$1.93 ,#N/A,#N/A,#N/A
4349419SOC-BDA2-C1,29-Jan-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,165,$5.92 ,1,#N/A,#N/A
4349419SOC-BDA2-C2,29-Jan-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,3,$0.00 ,#N/A,#N/A,#N/A
4349419SOC-BDA2-C3,29-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,82,$1.98 ,#N/A,#N/A,#N/A
4349419SOC-BDA2-C5,29-Jan-19,19SOC-BDA2-C5,Age-In NTM Social Facebook  (64+9 mo) Benefit Carousel Except Union,160,$3.33 ,#N/A,#N/A,#N/A
4349419SOC-BDA3-C1,29-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,154,$2.98 ,2,#N/A,#N/A
4349419SOC-BDA3-C2,29-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,84,$2.00 ,#N/A,#N/A,#N/A
4349419SOC-BDA3-C3,29-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,32,$0.45 ,#N/A,#N/A,#N/A
4349519SOC-BDA1-C1,30-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,25,$0.33 ,#N/A,#N/A,#N/A
4349519SOC-BDA1-C2,30-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,83,$1.79 ,2,0,5
4349519SOC-BDA1-C3,30-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,50,$0.73 ,#N/A,#N/A,#N/A
4349519SOC-BDA2-C1,30-Jan-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,121,$5.01 ,#N/A,#N/A,#N/A
4349519SOC-BDA2-C2,30-Jan-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,9,$0.00 ,#N/A,#N/A,#N/A
4349519SOC-BDA2-C3,30-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,5,$0.05 ,#N/A,#N/A,#N/A
4349519SOC-BDA2-C4,30-Jan-19,19SOC-BDA2-C4,Age-In NTM Social Facebook (64+9 mo) Benefit Carousel Union County,1,$0.01 ,1,#N/A,#N/A
4349519SOC-BDA2-C5,30-Jan-19,19SOC-BDA2-C5,Age-In NTM Social Facebook  (64+9 mo) Benefit Carousel Except Union,227,$3.56 ,#N/A,#N/A,#N/A
4349519SOC-BDA3-C1,30-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,213,$4.70 ,2,#N/A,#N/A
4349519SOC-BDA3-C2,30-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,87,$1.88 ,#N/A,#N/A,#N/A
4349519SOC-BDA3-C3,30-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,106,$1.66 ,#N/A,#N/A,#N/A
4349619SOC-BDA1-C1,31-Jan-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,79,$1.85 ,1,#N/A,#N/A
4349619SOC-BDA1-C2,31-Jan-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,60,$1.66 ,2,0,1
4349619SOC-BDA1-C3,31-Jan-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,176,$5.52 ,#N/A,#N/A,#N/A
4349619SOC-BDA2-C1,31-Jan-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,161,$6.72 ,3,#N/A,#N/A
4349619SOC-BDA2-C2,31-Jan-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,1,$0.01 ,#N/A,#N/A,#N/A
4349619SOC-BDA2-C3,31-Jan-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,149,$2.97 ,#N/A,#N/A,#N/A
4349619SOC-BDA2-C5,31-Jan-19,19SOC-BDA2-C5,Age-In NTM Social Facebook  (64+9 mo) Benefit Carousel Except Union,210,$3.70 ,2,#N/A,#N/A
4349619SOC-BDA3-C1,31-Jan-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,261,$4.72 ,1,#N/A,#N/A
4349619SOC-BDA3-C2,31-Jan-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,133,$3.07 ,#N/A,#N/A,#N/A
4349619SOC-BDA3-C3,31-Jan-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,205,$5.22 ,2,#N/A,#N/A
4349719SOC-BDA1-C1,1-Feb-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,62,$0.91 ,#N/A,#N/A,#N/A
4349719SOC-BDA1-C2,1-Feb-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,59,$1.64 ,1,0,1
4349719SOC-BDA1-C3,1-Feb-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,85,$1.91 ,1,#N/A,#N/A
4349719SOC-BDA2-C1,1-Feb-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,1,$0.01 ,#N/A,#N/A,#N/A
4349719SOC-BDA2-C2,1-Feb-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,4,$0.00 ,#N/A,#N/A,#N/A
4349719SOC-BDA2-C3,1-Feb-19,19SOC-BDA2-C3,Age-In NTM Social Facebook (64+9 mo) Image Carousel,220,$4.01 ,#N/A,#N/A,#N/A
4349719SOC-BDA2-C5,1-Feb-19,19SOC-BDA2-C5,Age-In NTM Social Facebook  (64+9 mo) Benefit Carousel Except Union,1,$0.00 ,#N/A,#N/A,#N/A
4349719SOC-BDA3-C1,1-Feb-19,19SOC-BDA3-C1,Age-In NTM Social Facebook (64+11mo) See Any Doctor Nationwide,168,$3.49 ,1,#N/A,#N/A
4349719SOC-BDA3-C2,1-Feb-19,19SOC-BDA3-C2,Age-In NTM Social Facebook (64+11mo) Travel Between States -  no headline over image,126,$3.06 ,1,#N/A,#N/A
4349719SOC-BDA3-C3,1-Feb-19,19SOC-BDA3-C3,Age-In NTM Social Facebook (64+11mo) Med Sup -  Image Carousel,61,$1.17 ,#N/A,#N/A,#N/A
4349719SOC-BDA4-C1,1-Feb-19,19SOC-BDA4-C1,Age-In NTM Social Facebook (65+1) Enroll Today - Clock,257,$5.40 ,#N/A,#N/A,#N/A
4349719SOC-BDA4-C2,1-Feb-19,19SOC-BDA4-C2,Age-In NTM Social Facebook (65 + 1 mo)  Avoid Penalty,489,$8.34 ,1,#N/A,#N/A
4349719SOC-BDA5-C2,1-Feb-19,19SOC-BDA5-C2,Age-In NTM Social Facebook (65 + 1 mo)  Image Carousel,368,$10.45 ,2,#N/A,#N/A
4349819SOC-BDA1-C1,2-Feb-19,19SOC-BDA1-C1,Age-In NTM Social Facebook (64+6 mo) Free Guide,25,$0.38 ,#N/A,#N/A,#N/A
4349819SOC-BDA1-C2,2-Feb-19,19SOC-BDA1-C2,Age-In NTM Social Facebook (64+6 mo) Three Months Away,129,$3.14 ,3,0,1
4349819SOC-BDA1-C3,2-Feb-19,19SOC-BDA1-C3,Age-In NTM Social Facebook (64+6 mo) Carousel,157,$3.59 ,#N/A,#N/A,#N/A
4349819SOC-BDA2-C1,2-Feb-19,19SOC-BDA2-C1,Age-In NTM Social Facebook (64+9 mo) $0 Medical Deductible,4,$0.09 ,#N/A,#N/A,#N/A
4349819SOC-BDA2-C2,2-Feb-19,19SOC-BDA2-C2,Age-In NTM Social Facebook (64+9 mo) $0 In Network Doctor Copays,1,$0.00 ,#N/A,#N/A,#N/A
